code,9932_out
1,Movie
2,Telephone
3,Telex
4,Audio programming
5,Television
6,Reservation booking service
7,Duty free sales
8,Smoking
9,Non-smoking
10,Short feature video
11,No duty free sales
12,In-seat power source
13,Internet access
14,E-Mail
15,Inseat Video Player/Library
16,Lie-flat seats
17,Additional services
18,Wi-Fi
700,Meal service
701,Entertainment
ABU,Aerobus
AIR,Air side
BAG,Baggage Area
BEL,Conveyor Belt
BUS,Bus
CAT,Catering
CHK,Check-in area
CLN,Cleaning
COU,Check-in counter
CUB,Curbside
CRW,crew bus
FIR,fire-engine equipment
FUE,Re-Fuelling
GAN,Gangway
GTE,Gate area
ICE,De-icing equipment
JET,Jetway
LIT,Lighting
LND,Land side
LOU,Boarding Lounge
LUG,Luggage
PAR,Parking area or stand
PIE,Pier
POW,Ground Power
PUB,Public area
SAT,Satellite
SHU,Shuttle 
STD,Stand
STF,Staff in-terminal (e.g. breakroom or operational room)
TAN,Tank truck
TER,Terminal
TOW,Tow tractor with towbar
TWB,Tow tractor without towbar
WAS,A/C washing equipment
WAT,Fresh water equipment 